time,FWI,tasmax,pr,sfcWind,scenario,h2o
1850,16.750234658597158,301.7136,5.553327,3.1231697,Historical to Present (1850-2015),0.016440617
1851,18.50938192120635,301.7965,5.6966095,3.0514343,Historical to Present (1850-2015),0.01641254
1852,18.850576973708172,301.7253,5.536259,3.1350358,Historical to Present (1850-2015),0.016383762
1853,19.509428125583465,301.75195,5.5085216,3.1063595,Historical to Present (1850-2015),0.016377607
1854,19.30948807900579,301.8614,5.41463,3.0860193,Historical to Present (1850-2015),0.016350113
1855,18.620146664940936,301.77722,5.7486243,3.1268842,Historical to Present (1850-2015),0.016412228
1856,17.648718672399763,301.65073,5.6558185,3.0857399,Historical to Present (1850-2015),0.016388353
1857,18.429148986761646,301.64536,5.584106,3.1134446,Historical to Present (1850-2015),0.01632625
1858,18.329918170203165,301.6425,5.501973,3.0723355,Historical to Present (1850-2015),0.016408984
1859,19.85695532370229,301.90125,5.482934,3.1182172,Historical to Present (1850-2015),0.016433092
1860,18.48563935777595,301.75583,5.4912124,3.1214914,Historical to Present (1850-2015),0.016406666
1861,16.345761538795966,301.4971,6.0140038,3.0971234,Historical to Present (1850-2015),0.016381204
1862,16.427720848741345,301.59424,5.7812886,3.059728,Historical to Present (1850-2015),0.016405212
1863,17.20814773322555,301.68564,5.7342076,3.0819228,Historical to Present (1850-2015),0.0164006
1864,18.505933220392883,301.628,5.7408466,3.107584,Historical to Present (1850-2015),0.016409324
1865,18.814617442886373,301.72458,5.5596766,3.1243718,Historical to Present (1850-2015),0.016382711
1866,19.446254743823186,301.66324,5.6971483,3.110344,Historical to Present (1850-2015),0.016396053
1867,17.940224384225328,301.63858,5.541606,3.0801227,Historical to Present (1850-2015),0.016409928
1868,18.15238085642566,301.6945,5.716885,3.11526,Historical to Present (1850-2015),0.01644746
1869,17.73163384567965,301.76517,5.802722,3.0651567,Historical to Present (1850-2015),0.016377132
1870,16.84389168131461,301.38675,5.7463446,3.131401,Historical to Present (1850-2015),0.016391149
1871,17.914600878252166,301.74072,5.4814353,3.1032028,Historical to Present (1850-2015),0.016424445
1872,19.008526252636262,301.83432,5.491462,3.085056,Historical to Present (1850-2015),0.016408287
1873,19.522757931605657,301.80405,5.5223436,3.1267931,Historical to Present (1850-2015),0.016377158
1874,20.45926128300912,301.87717,5.6110845,3.1383018,Historical to Present (1850-2015),0.016418438
1875,17.670036210965552,301.71988,5.5916204,3.1002014,Historical to Present (1850-2015),0.016410777
1876,17.589412223417643,301.68683,5.7065606,3.0971057,Historical to Present (1850-2015),0.016425824
1877,18.048002072416715,301.72858,5.67531,3.1069572,Historical to Present (1850-2015),0.016410826
1878,18.121041734732014,301.77026,5.418173,3.097584,Historical to Present (1850-2015),0.016383534
1879,18.35254492698651,301.72058,5.7326503,3.094878,Historical to Present (1850-2015),0.016359149
1880,16.966828347503796,301.7427,5.6583543,3.1054485,Historical to Present (1850-2015),0.01641904
1881,18.51081775593997,301.79526,5.643529,3.0656583,Historical to Present (1850-2015),0.01643428
1882,19.36689519106449,301.9553,5.638652,3.0518181,Historical to Present (1850-2015),0.01648439
1883,18.23961062929527,301.5466,5.631495,3.137598,Historical to Present (1850-2015),0.016335513
1884,18.58579047777701,301.18478,5.3727365,3.0992463,Historical to Present (1850-2015),0.01602477
1885,19.216709733626057,301.64676,5.660276,3.075855,Historical to Present (1850-2015),0.016204065
1886,16.93116436562793,301.39957,5.5930552,3.0513003,Historical to Present (1850-2015),0.016269017
1887,17.676566010329996,301.6368,5.853547,3.0950801,Historical to Present (1850-2015),0.01633527
1888,18.89244311308084,301.78757,5.7409825,3.1048486,Historical to Present (1850-2015),0.01637738
1889,18.62335959450216,301.72018,5.492201,3.1208732,Historical to Present (1850-2015),0.016358575
1890,18.672191193916746,301.62357,5.7205124,3.109297,Historical to Present (1850-2015),0.016399778
1891,18.14481142454319,301.82184,5.768131,3.053552,Historical to Present (1850-2015),0.016422061
1892,16.318693380824765,301.5851,5.78445,3.068654,Historical to Present (1850-2015),0.016400898
1893,17.975641628371683,301.81918,5.552811,3.0200207,Historical to Present (1850-2015),0.016365731
1894,17.202958924041365,301.5205,5.7419643,3.1547806,Historical to Present (1850-2015),0.016382378
1895,19.231068084202306,301.87427,5.7281384,3.1168792,Historical to Present (1850-2015),0.016447028
1896,16.668087566733103,301.6692,5.6920342,3.0612402,Historical to Present (1850-2015),0.016464317
1897,17.68903509020282,301.74673,5.703413,3.1043112,Historical to Present (1850-2015),0.016430127
1898,17.73548111749529,301.7996,5.8349657,3.0812368,Historical to Present (1850-2015),0.01636455
1899,16.518036440676173,301.5674,5.690288,3.1015985,Historical to Present (1850-2015),0.016379721
1900,17.75639149321211,301.7411,5.519642,3.0760624,Historical to Present (1850-2015),0.016425518
1901,19.288734947633433,301.9006,5.4073486,3.101082,Historical to Present (1850-2015),0.016489664
1902,18.20137252944113,301.719,5.723551,3.0969722,Historical to Present (1850-2015),0.016421447
1903,19.246957116629712,301.57788,5.3590717,3.1197405,Historical to Present (1850-2015),0.016203115
1904,18.433283678867756,301.6867,5.4641933,3.118839,Historical to Present (1850-2015),0.016332045
1905,19.591127227039888,301.85825,5.3995047,3.0922697,Historical to Present (1850-2015),0.016350359
1906,19.19148256299116,301.88403,5.5453615,3.1059618,Historical to Present (1850-2015),0.0163873
1907,18.426894359536707,301.5828,6.001753,3.10027,Historical to Present (1850-2015),0.016447058
1908,17.58358018561482,301.68698,5.728025,3.0419073,Historical to Present (1850-2015),0.016398137
1909,17.539205951466034,301.68484,5.6418047,3.0846977,Historical to Present (1850-2015),0.01642373
1910,17.925403942461312,301.79163,5.834982,3.1050813,Historical to Present (1850-2015),0.016454091
1911,18.383681043414505,301.7152,5.6598854,3.0898588,Historical to Present (1850-2015),0.01641393
1912,18.15135783463193,301.6063,5.6350536,3.1374676,Historical to Present (1850-2015),0.016391583
1913,18.4627011507668,301.81052,5.48309,3.06085,Historical to Present (1850-2015),0.016345108
